team,home_win_rate,home_draw_rate,home_loss_rate
Jordan,44.800000000000004,30.4,24.8
Kabylia,0.0,0.0,100.0
Kazakhstan,36.0,23.200000000000003,40.8
Kenya,49.87531172069826,24.93765586034913,25.187032418952622
Kernow,44.44444444444444,22.22222222222222,33.33333333333333
Kiribati,0.0,20.0,80.0
Kosovo,46.666666666666664,20.0,33.33333333333333
Kurdistan,100.0,0.0,0.0
Kuwait,46.63212435233161,24.870466321243523,28.497409326424872
Kyrgyzstan,39.285714285714285,23.809523809523807,36.904761904761905
Kárpátalja,60.0,40.0,0.0
Laos,32.6530612244898,18.367346938775512,48.97959183673469
Latvia,35.267857142857146,23.660714285714285,41.07142857142857
Lebanon,36.25,31.874999999999996,31.874999999999996
